j,k,policy
1,0,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,1,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,2,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,3,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,4,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,5,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,6,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,7,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,8,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
1,9,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
2,0,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
2,1,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
2,2,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
2,3,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
2,4,"{'fc_part0': 2, 'fc_part1': 2, 'fc_part10': 2, 'fc_part11': 2, 'fc_part12': 2, 'fc_part13': 2, 'fc_part14': 2, 'fc_part15': 2, 'fc_part16': 2, 'fc_part17': 2, 'fc_part18': 2, 'fc_part19': 2, 'fc_part2': 2, 'fc_part20': 2, 'fc_part21': 2, 'fc_part22': 2, 'fc_part23': 2, 'fc_part24': 2, 'fc_part25': 2, 'fc_part26': 2, 'fc_part27': 2, 'fc_part28': 2, 'fc_part29': 2, 'fc_part3': 2, 'fc_part30': 2, 'fc_part31': 2, 'fc_part4': 2, 'fc_part5': 2, 'fc_part6': 2, 'fc_part7': 2, 'fc_part8': 2, 'fc_part9': 2, 'layers.0.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_norm': 2, 'layers.0.vss.1.out_proj': 2, 'layers.1.vss.1.conv2d': 4, 'layers.1.vss.1.in_proj': 4, 'layers.1.vss.1.out_norm': 4, 'layers.1.vss.1.out_proj': 4, 'proj_conv': 4, 'stem.0': 8, 'stem.1': 4}"
